IATA,Airport name,Country,City,lat,long,code,,,,
ACJ,Anuradhapura Airport,Sri Lanka,Anuradhapura,8.301542,80.42848,LK,,Anuradhapura Airport,,
ACK,Nantucket Memorial Airport,United States of America,Nantucket,41.25310135,-70.06020355,US,,Nantucket Memorial Airport,,
ACN,Ciudad Acuña New International Airport,Mexico,Ciudad Acuña,29.333662,-101.100555,MX,,Ciudad Acuña New International Airport,,
ACP,Sahand Airport,Iran,Maragheh,37.347999572753906,46.127899169921875,IR,,Sahand Airport,,
ACR,Araracuara Airport,Colombia,Araracuara,-0.600854,-72.398011,CO,,Araracuara Airport,,
ACS,Achinsk Airport,Russia,Achinsk,56.269185,90.57511,RU,,Achinsk Airport,,
ACT,Waco Regional Airport,United States of America,Waco,31.611299514770508,-97.23049927,US,,Waco Regional Airport,,
ACU,Achutupu Airport,Panama,Mamitupu,9.188481,-77.994153,PA,,Achutupu Airport,,
ACV,California Redwood Coast-Humboldt County Airport,United States of America,Arcata/Eureka,40.978101,-124.109,US,,California Redwood Coast-Humboldt County Airport,,
ACX,Xingyi Wanfenglin Airport,China,Xingyi,25.083423,104.960804,CN,,Xingyi Wanfenglin Airport,,
ACY,Atlantic City International Airport,United States of America,Atlantic City,39.45759963989258,-74.57720184,US,,Atlantic City International Airport,,
ACZ,Zabol Airport,Iran,Zabol,31.098301,61.5439,IR,,Zabol Airport,,
ADA,Adana Şakirpaşa Airport,Turkey,Seyhan,36.982201,35.280399,TR,,Adana Şakirpaşa Airport,,
ADB,Adnan Menderes International Airport,Turkey,Gaziemir,38.2924,27.157,TR,,Adnan Menderes International Airport,,
ADC,Andakombe Airport,Papua New Guinea,Andekombe,-7.137222222,145.7447222,PG,,Andakombe Airport,,
ADD,Addis Ababa Bole International Airport,Ethiopia,Addis Ababa,8.97789,38.799301,ET,,Addis Ababa Bole International Airport,,
ADE,Aden International Airport,Yemen,Aden,12.8295,45.028801,YE,,Aden International Airport,,
ADF,Adıyaman Airport,Turkey,Adıyaman,37.7314,38.468899,TR,,Adıyaman Airport,,
ADG,Lenawee County Airport,United States of America,Adrian,41.866205,-84.077983,US,,Lenawee County Airport,,
ADH,Aldan Airport,Russia,Aldan,58.60279846191406,125.40899658203125,RU,,Aldan Airport,,
ADI,Arandis Airport,Namibia,Arandis,-22.461875,14.979322,NA,,Arandis Airport,,
ADJ,Amman Civil (Marka International) Airport,Jordan,Amman,31.9727,35.9916,JO,,Amman Civil (Marka International) Airport,,
ADK,Adak Airport,United States of America,Adak,51.883564,-176.642783,US,,Adak Airport,,
ADL,Adelaide International Airport,Australia,Adelaide,-34.947512,138.533393,AU,,Adelaide International Airport,,
ADM,Ardmore Municipal Airport,United States of America,Ardmore,34.30301,-97.0196342,US,,Ardmore Municipal Airport,,
ADP,Ampara Airport,Sri Lanka,Ampara,7.336745,81.623869,LK,,Ampara Airport,,
ADQ,Kodiak Airport,United States of America,Kodiak,57.75,-152.4940033,US,,Kodiak Airport,,
ADR,Robert F Swinnie Airport,United States of America,Andrews,33.4516983,-79.52619934,US,,Robert F Swinnie Airport,,
ADS,Addison Airport,United States of America,Dallas,32.96860123,-96.83640289,US,,Addison Airport,,
ADT,Ada Regional Airport,United States of America,Ada,34.805214,-96.671988,US,,Ada Regional Airport,,
ADU,Ardabil Airport,Iran,Ardabil,38.32569885,48.42440033,IR,,Ardabil Airport,,
ADV,El Daein Airport,Sudan,El Daein,11.4023,26.1186,SD,,El Daein Airport,,
ADW,Joint Base Andrews,United States of America,Camp Springs,38.810799,-76.866997,US,,Joint Base Andrews,,
ADX,Leuchars Station Airfield,United Kingdom,Leuchars,56.37398,-2.868862,GB,,Leuchars Station Airfield,,
ADY,Alldays Airport,South Africa,Alldays,-22.679001,29.0555,ZA,,Alldays Airport,,
ADZ,Gustavo Rojas Pinilla International Airport,Colombia,San Andrés,12.5836,-81.7112,CO,,Gustavo Rojas Pinilla International Airport,,
AEA,Abemama Airport,Kiribati,Abemama,0.490759,173.830287,KI,,Abemama Airport,,
AEB,Baise (Bose) Bama Airport,China,Baise (Tianyang),23.7206,106.959999,CN,,Baise (Bose) Bama Airport,,
AEE,Adareil Airport,South Sudan,Adar,10.053611,32.959444,SS,,Adareil Airport,,
AEG,Aek Godang Airport,Indonesia,Padang Sidempuan,1.4001,99.430496,ID,,Aek Godang Airport,,
AEH,Abeche Airport,Chad,Abeche,13.847,20.844299,TD,,Abeche Airport,,
AEK,Aseki Airport,Papua New Guinea,Aseki,-7.350805,146.193994,PG,,Aseki Airport,,
AEL,Albert Lea Municipal Airport,United States of America,Albert Lea,43.68149948,-93.36720276,US,,Albert Lea Municipal Airport,,
AEM,Amgu Airport,Russia,Amgu,45.84126,137.673568,RU,,Amgu Airport,,
AEO,Aioun el Atrouss Airport,Mauritania,Aioun El Atrouss,16.711299896240234,-9.637880325,MR,,Aioun el Atrouss Airport,,
AEP,Jorge Newbery Airpark,Argentina,Buenos Aires,-34.5592,-58.4156,AR,,Jorge Newbery Airpark,,
AEQ,Ar Horqin Airport,China,Chifeng,43.908407,120.15099,CN,,Ar Horqin Airport,,
AER,Sochi International Airport,Russia,Sochi,43.449902,39.9566,RU,,Sochi International Airport,,
AES,�lesund Airport,Norway,Alesund,62.5625,6.1197,NO,,,,
AET,Allakaket Airport,United States of America,Allakaket,66.551804,-152.621994,US,,,,
AEU,Abu Musa Island Airport,Iran,Abu Musa,25.8757,55.033001,IR,,,,
AEX,Alexandria International Airport,United States of America,Alexandria,31.3274,-92.549797,US,,,,
AEY,Akureyri Airport,Iceland,Akureyri,65.656573,-18.072018,IS,,,,
AFA,Suboficial Ay Santiago Germano Airport,Argentina,San Rafael,-34.588299,-68.4039,AR,,,,
AFD,Port Alfred Airport,South Africa,Port Alfred,-33.555057,26.881656,ZA,,,,
AFF,USAF Academy Airfield,United States of America,Colorado Springs,38.972497,-104.821125,US,,,,
AFI,Amalfi Airport,Colombia,Amalfi,6.895033,-75.047334,CO,,,,
AFL,Piloto Osvaldo Marques Dias Airport,Brazil,Alta Floresta,-9.866389,-56.106298,BR,,,,
AFN,Jaffrey Airfield Silver Ranch Airport,United States of America,Jaffrey,42.805099,-72.002998,US,,,,
AFO,Afton Municipal Airport,United States of America,Afton,42.71120071,-110.9420013,US,,,,
AFS,Sugraly Airport,Uzbekistan,Zarafshan,41.613899,64.2332,UZ,,,,
AFT,Afutara Aerodrome,Solomon Islands,Bila,-9.191388889,160.9486111,SB,,,,
AFW,Perot Field/Fort Worth Alliance Airport,United States of America,Fort Worth,32.99044,-97.31947,US,,,,
AFY,Afyon Air Base,Turkey,Afyonkarahisar,38.726398,30.601101,TR,,,,
AFZ,Sabzevar National Airport,Iran,Sabzevar,36.16809844970703,57.59519958496094,IR,,,,
AGA,Al Massira Airport,Morocco,Agadir (Temsia),30.322478,-9.412003,MA,,,,
AGB,Augsburg Airport,Germany,Augsburg,48.425278,10.931667,DE,,,,
AGC,Allegheny County Airport,United States of America,Pittsburgh,40.354401,-79.930199,US,,,,
AGD,Anggi Airport,Indonesia,Anggi-Papua Island,-1.3858,133.8737,ID,,,,
AGE,Wangerooge Airport,Germany,Wangerooge,53.782544,7.919584,DE,,,,
AGF,Agen-La Garenne Airport,France,Agen/La Garenne,44.174171,0.59309,FR,,,,
AGG,Angoram Airport,Papua New Guinea,Angoram,-4.057077,144.073841,PG,,,,
AGH,Ängelholm-Helsingborg Airport,Sweden,Ängelholm,56.29610061645508,12.847100257873535,SE,,,,
AGI,Wageningen Airstrip,Suriname,Wageningen,5.841252,-56.673247,SR,,,,
AGJ,Aguni Airport,Japan,Aguni,26.592755,127.240335,JP,,,,
AGK,Kagua Airport,Papua New Guinea,Kagua,-6.396388889,143.8536111,PG,,,,
AGO,Magnolia Municipal Airport / Ralph C Weiser Field,United States of America,Magnolia,33.228001,-93.217002,US,,,,
AGP,Málaga-Costa del Sol Airport,Spain,Málaga,36.6749,-4.49911,ES,,,,
AGR,Agra Airport / Agra Air Force Station,India,Agra,27.157683,77.960942,IN,,,,
AGS,Augusta Regional At Bush Field,United States of America,Augusta,33.3699,-81.9645,US,,,,
AGV,Oswaldo Guevara Mujica Airport,Venezuela,Acarigua,9.553375,-69.237869,VE,,,,
AGW,Agnew Airport,Australia,Agnew,-12.1456,142.149369,AU,,,,
AGX,Agatti Airport,India,Agatti,10.8237,72.176003,IN,,,,
AGY,Argyle Downs Airport,Australia,Argyle Downs,-16.508604,128.922485,AU,,,,
AGZ,Aggeneys Airport,South Africa,Aggeneys,-29.281799,18.8139,ZA,,,,
AHB,Abha International Airport,Saudi Arabia,Abha,18.2404,42.656601,SA,,,,
AHC,Amedee Army Air Field,United States of America,Herlong,40.26620102,-120.1529999,US,,,,
AHD,Ardmore Downtown Executive Airport,United States of America,Ardmore,34.14699936,-97.12270355,US,,,,
AHE,Ahe Airport,French Polynesia,Ahe Atoll,-14.42809963,-146.2570038,PF,,,,
AHF,Arapahoe Municipal Airport,United States of America,Arapahoe,40.341576,-99.907839,US,,,,
AHH,Amery Municipal Airport,United States of America,Amery,45.28110123,-92.37539673,US,,,,
AHI,Amahai Airport,Indonesia,Amahai,-3.347851,128.927093,ID,,,,
AHJ,Hongyuan Airport,China,Ngawa (Hongyuan),32.53154,102.35224,CN,,,,
AHL,Aishalton Airport,Guyana,Aishalton,2.47403,-59.320786,GY,,,,
AHM,Ashland Municipal Airport Sumner Parker Field,United States of America,Ashland,42.190265,-122.660648,US,,,,
AHN,Athens Ben Epps Airport,United States of America,Athens,33.948842,-83.325634,US,,,,
AHO,Alghero-Fertilia Airport,Italy,Alghero,40.632099,8.29077,IT,,,,
AHS,Ahuas Airport,Honduras,Ahuas,15.4722,-84.352203,HN,,,,
AHU,Cherif Al Idrissi Airport,Morocco,Al Hoceima,35.177101135253906,-3.839519978,MA,,,,
AHY,Ambatolhy Airport,Madagascar,Ambatolahy,-20.01583333,45.535,MG,,,,
AIA,Alliance Municipal Airport,United States of America,Alliance,42.052543,-102.803965,US,,,,
AIC,Ailinglaplap Airok Airport,Marshall Islands,Bigatyelang Island,7.279422,168.8257,MH,,,,
AID,Anderson Municipal Darlington Field,United States of America,Anderson,40.10860061649999,-85.61299896,US,,,,
AIE,Aiome Airport,Papua New Guinea,Aiome,-5.145699978,144.7307003,PG,,,,
AIF,Marcelo Pires Halzhausen Airport,Brazil,Assis,-22.638601,-50.455983,BR,,,,
AIG,Yalinga Airport,Central African Republic,Yalinga,6.519999980926514,23.260000228881836,CF,,,,
AIH,Aiambak Airport,Papua New Guinea,Aiambak,-7.342777778,141.2675,PG,,,,
AII,Ali-Sabieh Airport,Djibouti,Ali-Sabieh,11.146889,42.72,DJ,,,,
AIK,Aiken Regional Airport,United States of America,Aiken,33.649399,-81.684998,US,,,,
AIL,Ailigandí Airport,Panama,Isla Lorenzo Bello,9.2226,-78.0236,PA,,,,
AIM,Ailuk Airport,Marshall Islands,Ailuk Island,10.21679973602295,169.98300170898438,MH,,,,
AIN,Wainwright Airport,United States of America,Wainwright,52.796404,-110.858445,CA,,,,
AIO,Atlantic Municipal Airport,United States of America,Atlantic,41.40729904,-95.04689789,US,,,,
AIP,Adampur Airport,India,Adampur,31.4338,75.758797,IN,,,,
AIR,Aripuanã Airport,Brazil,Aripuanã,-10.187375,-59.457469,BR,,,,
AIS,Arorae Island Airport,Kiribati,Arorae Island,-2.616233,176.802209,KI,,,,
AIT,Aitutaki Airport,Cook Islands,Aitutaki,-18.8309,-159.764008,CK,,,,
AIU,Enua Airport,Cook Islands,Atiu Island,-19.96780014,-158.1190033,CK,,,,
AIV,George Downer Airport,United States of America,Aliceville,33.106499,-88.1978,US,,,,
AIW,Ai-Ais Airport,Namibia,Ai-Ais,-27.995,17.5966,NA,,,,
AIZ,Lee C Fine Memorial Airport,United States of America,Kaiser Lake Ozark,38.09600067,-92.54949951,US,,,,
AJA,Ajaccio-Napoléon Bonaparte Airport,France,Ajaccio/Napoléon Bonaparte,41.92359924316406,8.802920341,FR,,,,
AJF,Al-Jawf Domestic Airport,Saudi Arabia,Al-Jawf,29.78510093688965,40.099998474121094,SA,,,,
AJI,Ağrı Airport,Turkey,Ağrı,39.655642,43.025742,TR,,,,
AJJ,Akjoujt Airport,Mauritania,Akjoujt,19.727998,-14.377214,MR,,,,
AJK,Arak Airport,Iran,Araak,34.1381,49.847301,IR,,,,
AJL,Lengpui Airport,India,Aizawl (Lengpui),23.840599,92.619698,IN,,,,
AJN,Ouani Airport,Comoros,Ouani,-12.131047,44.430044,KM,,,,
AJR,Arvidsjaur Airport,Sweden,Arvidsjaur,65.59030151367188,19.28190040588379,SE,,,,
AJS,Punta Abreojos Airport,Mexico,Mulegé,26.7272,-113.558998,MX,,,,
AJU,Aracaju - Santa Maria International Airport,Brazil,Aracaju,-10.984,-37.070301,BR,,,,
AJY,Mano Dayak International Airport,Niger,Agadez,16.965999603271484,8.000109672546387,NE,,,,
AKA,Ankang Fuqiang Airport,China,Ankang (Hanbin),32.75696,108.87338,CN,,,,
